年月日,平均気温(℃),平均湿度(％),天気概況(昼：06時～18時)
2012/1/1,5.7,43,曇
2011/2/3,7.4,46,晴
2009/3/2,6.9,36,晴
2021/1/2,4.8,53,晴
2011/11/11,12.4,77,雨
2017/12/30,6.2,44,晴
2021/5/27,16.9,94,雨
2009/4/24,13.3,56,曇
2008/1/4,7,43,晴
2016/1/29,5.4,78,雨
2009/9/30,20.2,77,雨
2011/6/26,21.3,81,曇
2002/9/16,19.1,82,雨
2006/2/10,5.6,33,晴
2012/7/5,26.7,74,曇
2015/8/29,20,98,雨
2021/4/30,18.8,64,晴
2001/6/19,26,72,曇
2008/6/27,21.6,68,曇
2015/4/7,10,91,雨
2019/7/14,21.3,100,雨
2001/2/22,13.9,41,晴
2014/11/5,15.2,59,曇
2013/12/22,7.6,43,晴
2000/4/3,10.1,46,曇
2003/12/28,7,33,晴
2015/1/22,4.6,91,雨
2005/5/13,12.6,65,曇
2017/10/22,17.4,100,雨
2020/7/25,25.1,98,雨
2010/10/9,17.5,82,雨
2003/9/26,21.8,77,曇
2004/4/27,19,73,雨
2010/8/20,27.8,66,曇
2006/2/19,7,56,曇
2015/10/16,15.6,95,雨
2004/9/11,23.6,63,曇
2008/10/28,17.1,58,晴
2021/1/23,6.4,85,雨
2014/9/17,23.3,64,曇
2005/2/23,12.1,33,晴
2015/8/20,25.6,92,雨
2002/2/15,5.9,27,晴
2017/2/12,5,42,晴
2001/12/25,6.9,54,曇
2011/11/3,18.4,59,曇
2003/2/21,7.3,36,晴
2018/1/4,4.7,41,晴
2019/12/8,7.4,59,晴
2007/7/14,22,87,雨
2017/2/3,7.4,36,晴
2008/8/10,26.6,70,曇
2008/7/9,24.3,68,曇
2021/1/14,7.9,55,晴
2014/6/6,19.9,90,雨
2005/4/14,13.6,50,晴
2007/4/16,10.6,75,雨
2012/5/2,18.8,84,雨
2002/6/17,23.2,71,曇
2020/10/28,16.6,73,曇
2015/7/7,21.3,91,雨
2015/6/22,22.6,76,曇
2012/11/30,10.5,74,曇
2010/2/7,4.9,34,晴
2000/3/11,7.4,35,曇
2017/8/17,24.2,89,曇
2018/5/28,21.6,76,曇
2021/9/19,23.9,74,晴
2018/4/29,20.1,66,晴
2011/7/19,27.9,78,雨
2004/6/6,21.8,82,雨
2005/6/17,20.7,76,曇
2007/2/4,7.4,29,晴
2020/7/21,25.5,88,曇
2019/12/30,6.7,72,雨
2011/6/7,21.6,68,曇
2003/4/5,6.9,85,雨
2011/11/28,12.1,53,曇
2009/5/23,23.2,63,曇
2013/9/18,23.7,54,晴
2011/12/29,6,46,晴
2007/9/23,23.7,73,曇
2001/10/15,19.1,47,晴
2014/12/26,5.1,38,晴
2004/5/16,18.9,86,雨
2004/12/15,10.3,54,曇
2012/12/13,7.1,39,晴
2000/12/24,9.8,44,晴
2011/4/5,10.1,28,晴
2018/8/29,26.1,86,曇
2016/5/22,22.4,48,晴
2015/3/25,8.1,35,晴
2003/4/28,18.3,57,晴
2017/11/6,13.6,67,晴
2014/6/28,22.8,88,雨
2009/2/6,7.9,40,晴
2001/2/24,6.5,81,雨
2001/10/27,17.4,60,晴
2003/8/16,19.3,88,雨
2012/6/9,19,90,雨
2009/2/13,11.4,58,曇
2002/1/9,7.5,37,晴
2018/3/9,11.6,85,雨
2001/12/16,7.4,38,晴
2014/10/15,15.9,66,雨
2005/12/27,4.8,26,晴
2021/8/14,22.3,100,雨
2000/1/5,9.3,46,曇
2001/1/12,6.6,37,晴
2004/11/22,14.5,55,晴
2011/2/26,7.2,32,晴
2004/5/20,16.1,85,雨
2019/11/6,14.3,61,晴
2021/9/25,22.1,73,曇
2008/8/9,29.2,66,曇
2001/6/6,20.2,83,雨
2000/11/22,11.3,44,曇
2003/10/27,16.3,55,曇
2003/12/14,9.9,39,晴
2020/9/15,23.8,82,曇
2006/5/25,18.5,59,晴
2013/12/2,10.8,59,晴
2021/1/20,3.9,41,晴
2009/12/3,10.1,79,雨
2004/2/2,5.8,67,雨
2019/6/7,21,94,雨
2004/5/27,22.4,68,曇
2013/6/10,23.6,69,曇
2021/8/24,27.5,78,曇
2006/7/24,24,86,雨
2018/7/6,21.7,99,雨
2018/2/21,5.9,52,曇
2017/1/26,4.6,48,晴
2013/4/19,14.5,43,曇
2010/1/2,6.3,35,晴
2005/12/23,5.3,32,晴
2002/12/1,10.1,73,雨
2010/12/25,5.6,36,晴
2020/10/9,14.5,99,雨
2001/4/16,17.2,43,晴
2015/2/10,3.2,49,晴
2008/8/23,20.9,78,雨
2020/6/19,18.7,99,雨
2003/9/7,22.8,71,曇
2003/3/7,5.5,86,雨
2012/6/5,21.7,69,曇
2009/1/16,5,36,晴
2006/12/22,9.5,65,曇
2018/7/5,26.7,79,雨
2002/2/28,10.3,80,雨
2016/12/17,6.7,49,晴
2004/6/10,22.6,77,曇
2001/3/25,14.8,74,雨
2001/9/7,23.4,70,曇
2007/4/23,15,72,曇
2007/9/19,24.4,72,曇
2011/12/17,6.1,34,晴
2006/7/6,24.7,75,曇
2019/3/6,10.8,82,曇
2019/11/16,12.8,65,晴
2004/10/20,17.2,89,雨
2012/9/27,21.2,61,曇
2014/11/15,12.7,42,晴
2002/4/10,12.7,64,曇
2003/5/12,18.3,70,曇
2010/8/13,28.3,70,曇
2019/3/19,13.2,52,曇
2021/9/3,19.7,99,雨
2020/5/16,18.5,89,雨
2013/6/13,21.4,93,雨
2000/11/26,13.6,65,晴
2014/10/5,17.2,89,雨
2014/10/22,16.1,90,雨
2000/1/19,5.5,71,雨
2016/4/28,14.4,99,雨
2018/1/27,2.6,33,晴
2011/6/2,16,81,雨
2020/10/10,16,100,雨
2007/10/14,18.3,60,曇
2011/12/11,8.1,49,晴
2017/11/28,11.6,76,曇
2008/6/25,21.6,71,曇
2012/2/26,6,49,曇
2016/1/9,7.3,53,晴
2017/5/17,17.2,69,曇
2009/7/29,28.2,77,曇
2005/11/11,13.4,61,曇
2005/10/1,22.5,61,晴
2006/5/26,19.4,58,曇
2013/10/13,21.6,35,晴
2005/11/1,14.6,47,晴
2006/2/21,8,70,曇
2011/4/6,13.7,35,晴
2006/6/17,24.5,71,曇
2018/6/21,21.2,95,曇
2007/9/29,18.4,74,雨
2014/11/19,12.1,38,晴
2012/11/10,15.7,47,晴
2014/6/12,22,89,雨
2021/1/1,4.4,40,晴
2009/9/21,21.3,62,曇
2013/11/9,13.3,66,曇
2018/1/10,7.5,41,晴
2013/7/13,30.7,66,曇
2002/4/26,12.5,58,曇
2018/3/29,18.1,60,晴
2002/9/20,22,53,晴
2009/10/6,17.8,85,雨
2003/1/27,3.8,86,雨
2020/4/4,15.7,62,晴
2015/11/27,9.9,58,晴
2017/7/27,24.2,81,曇
2001/1/24,5.3,33,晴
2017/12/6,6.9,56,晴
2000/6/11,18.1,87,雨
2000/2/5,7.3,39,晴
2017/8/18,26.5,87,曇
2007/8/28,28.6,68,曇
2016/7/9,22.4,95,雨
2010/10/17,20.9,59,曇
2012/5/15,18.7,86,雨
2009/9/4,23.2,66,曇
2014/9/25,24.4,78,雨
2021/3/23,10.8,46,晴
2001/6/23,22.8,77,曇
2012/6/25,18.4,72,曇
2005/4/20,12.8,77,雨
2007/2/2,6.3,25,晴
2021/8/25,29.4,76,曇
2021/3/6,13.8,70,曇
2009/1/31,7.8,76,雨
2009/2/8,7.4,33,晴
2002/4/2,19.2,51,晴
2015/2/1,4,32,晴
2016/10/3,22.7,94,雨
2016/2/11,6,40,晴
2004/8/27,24.3,72,曇
2003/1/2,3.4,49,晴
2002/1/24,7,32,晴
2020/11/17,15.2,62,晴
2020/7/17,19.3,98,雨
2020/9/16,24,81,曇
2017/2/2,4.5,33,晴
2017/2/4,8.2,43,晴
2017/8/25,30.4,73,曇
2003/7/17,22.7,67,曇
2006/11/26,10,60,曇
2011/1/19,6.3,41,晴
2005/4/17,16.3,50,晴
2002/6/27,16.4,87,雨
2005/2/11,5.5,28,曇
2006/5/21,21.7,44,晴
2002/8/10,30.7,57,晴
2001/4/15,17.1,43,晴
2019/1/3,4.9,49,晴
2010/11/3,14.6,39,晴
2015/4/27,19.3,68,晴
2014/8/28,21.1,91,雨
2004/6/8,22.9,75,曇
2008/11/20,9.4,37,晴
2019/2/1,4.1,45,晴
2008/9/15,24.4,74,曇
2001/1/6,4.5,34,晴
2015/10/19,19,70,晴
2011/1/7,4,25,晴
2001/6/25,26.4,74,曇
2005/10/3,23.7,55,曇
2011/8/20,23.7,72,曇
2014/1/2,7.3,46,晴
2011/8/21,20.6,86,雨
2007/4/3,8.8,74,雨
2019/2/2,6,54,晴
2010/1/16,3.8,31,晴
2001/11/23,13.6,55,晴
2018/3/19,13,70,曇
2009/10/26,14.4,85,雨
2017/12/9,5.9,55,晴
2003/12/3,11.8,51,曇
2006/10/16,20.2,48,晴
2002/6/12,20.4,83,雨
2009/7/8,26.5,75,雨
2010/11/29,12.3,39,晴
2004/6/5,23,57,晴
2005/2/16,4.5,79,雨
2012/10/1,26.9,63,晴
2011/5/11,15.2,80,雨
2002/5/9,14.8,73,曇
2016/1/24,3.3,42,晴
2008/2/14,5.1,24,晴
2015/10/25,16.1,32,晴
2014/3/17,12.1,50,晴
2016/1/19,5.1,43,晴
2000/4/30,16.9,50,曇
2013/6/20,22.3,88,雨
2003/7/7,22.3,83,雨
2011/3/15,10.9,58,曇
2008/2/1,5,29,晴
2005/2/24,7.1,51,曇
2010/12/9,9.1,45,晴
2019/11/29,5.2,56,晴
2011/1/14,3.8,36,晴
2000/11/9,12.5,52,曇
2003/1/31,5.2,36,晴
2000/4/19,16.6,58,曇
2015/11/22,13.1,67,曇
2017/8/5,27.8,85,曇
2005/12/29,5.2,29,晴
2001/9/16,25.8,77,曇
2019/1/14,5.6,59,晴
2011/11/10,14.1,57,曇
2016/2/10,6,33,晴
2021/4/14,15.3,96,雨
2016/3/16,8.7,51,曇
2020/5/9,18.3,64,曇
2021/4/19,15.8,41,晴
2020/3/19,14.6,65,晴
2003/7/18,22,74,曇
2006/3/26,13.6,56,曇
2006/1/4,4,38,曇
2006/4/1,10.7,39,晴
2015/3/30,16.2,54,晴
2014/7/18,24.9,81,曇
2005/5/12,13.6,65,曇
