年月日,平均気温(℃),平均湿度(％),天気概況(昼：06時～18時)
2000/10/18,18.4,46,曇
2004/1/21,7.9,55,曇
2004/12/11,13.5,49,晴
2005/5/20,19.3,38,曇
2019/2/5,6.7,55,曇
2017/9/27,23.7,77,曇
2001/1/21,4.9,58,晴
2015/10/5,17.9,50,曇
2014/4/15,16.3,53,晴
2004/9/26,20.8,84,雨
2019/9/5,25.7,81,曇
2009/7/5,23.8,74,曇
2013/10/20,15.2,92,雨
2001/2/1,5.2,67,雨
2011/4/18,14.9,55,曇
2009/5/7,17,80,雨
2015/8/27,23.6,81,曇
2016/4/16,15.8,45,曇
2008/9/29,16.6,78,雨
2011/2/7,8.2,42,晴
2007/1/30,9,47,晴
2009/10/27,19.1,51,晴
2005/5/11,13.8,50,曇
2020/1/17,7.3,59,曇
2010/1/1,4.8,33,晴
2001/12/22,7.2,47,晴
2012/3/31,14.1,60,雨
2017/3/21,9.1,93,雨
2018/3/13,11.6,61,晴
2006/11/9,16.3,56,晴
2011/6/1,15.2,57,曇
2014/10/13,18.1,79,雨
2017/6/21,22.4,90,雨
2004/9/18,26.1,65,曇
2005/12/9,9.2,49,晴
2019/1/4,5.1,59,晴
2010/2/27,10.9,80,雨
2005/10/10,17.6,86,雨
2006/2/4,1.6,25,晴
2010/4/16,5.2,68,雨
2014/12/22,7.1,42,晴
2013/10/23,17.5,71,曇
2012/3/23,9.9,70,雨
2007/3/18,6.3,27,晴
2010/3/7,6.2,78,雨
2018/7/2,28.8,70,晴
2001/2/4,5.4,33,曇
2019/5/31,21.6,74,曇
2002/9/30,20.8,80,雨
2008/11/21,11,43,晴
2002/3/18,15.5,25,晴
2018/2/25,5.6,57,曇
2017/9/5,23,84,曇
2017/1/25,3.9,36,晴
2021/9/4,20.6,97,雨
2020/7/10,25.3,90,雨
2008/1/6,7.5,59,晴
2009/1/20,7.5,39,曇
2002/9/24,21,48,晴
2003/8/18,22,82,曇
2012/10/18,17.8,87,雨
2009/5/6,16.4,82,雨
2002/3/29,12.1,75,雨
2017/8/4,25.6,86,曇
2015/10/8,19.4,37,晴
2003/8/6,27.5,73,曇
2015/4/13,9.7,89,雨
2011/8/31,26.4,75,曇
2015/12/29,6.3,39,晴
2013/7/1,23.8,71,曇
2019/6/22,22.2,91,雨
2016/12/11,6.8,42,晴
2020/9/29,19.7,67,曇
2020/3/24,8.2,44,晴
2005/12/28,4.7,28,晴
2013/8/4,27.8,75,曇
2007/11/9,16.2,60,曇
