年月日,平均気温(℃),平均湿度(％),天気概況(昼：06時～18時)
2009/11/17,10.3,70,雨
2001/12/31,6,37,晴
2015/11/22,13.1,67,曇
2005/3/23,10.8,80,雨
2014/1/10,3.6,30,晴
2009/9/3,22.2,68,曇
2003/9/30,20.4,36,晴
2011/4/3,7.9,39,曇
2003/5/11,18.4,55,曇
2001/12/13,9.1,64,雨
2003/11/27,9.5,61,曇
2011/2/3,7.4,46,晴
2017/8/31,21.6,88,雨
2010/2/17,3.1,59,曇
2015/1/22,4.6,91,雨
2018/11/9,15.6,100,雨
2003/7/9,21.3,74,曇
2017/2/16,7.3,55,晴
2008/6/28,23.4,70,曇
2009/5/29,17.5,86,雨
2005/7/4,20.9,88,雨
2019/12/12,11.7,62,晴
2000/8/13,25,83,雨
2015/8/17,25.7,96,雨
2001/9/16,25.8,77,曇
2006/5/11,21.2,72,雨
2004/10/3,18.8,85,雨
2017/7/2,25.7,84,曇
2017/10/16,12.7,100,雨
2021/1/19,4.4,40,晴
2019/6/30,21.6,99,雨
2016/1/14,6,52,晴
2002/7/5,25.7,78,曇
2015/2/2,4.7,34,晴
2017/6/13,16.9,92,雨
2002/6/24,19.6,64,曇
2003/7/25,22.8,79,曇
2018/6/10,20,91,雨
2013/7/30,27.8,78,曇
2014/2/21,5.5,35,晴
2001/10/20,16.2,52,晴
2013/11/3,17.4,74,曇
2002/9/13,23.6,72,曇
2013/4/2,10.6,89,雨
2015/6/16,23.3,76,曇
2001/1/16,3,31,晴
2001/10/3,22.9,39,晴
2005/2/4,7.2,28,晴
2018/8/29,26.1,86,曇
2009/7/21,22.8,81,雨
2002/8/20,27.7,45,晴
2020/3/18,11.9,52,晴
2013/3/29,16,75,曇
2013/11/16,12.9,62,晴
2014/8/17,26.2,81,曇
2013/9/7,25.9,75,曇
2017/5/17,17.2,69,曇
2019/6/24,19.1,98,雨
2017/1/4,8.5,48,晴
2011/2/23,8.4,57,晴
2001/3/10,6.4,41,晴
2013/3/1,13.6,65,曇
2006/3/1,5.7,86,雨
2019/12/30,6.7,72,雨
2002/11/28,10.1,32,晴
2005/3/21,11.5,32,晴
2008/12/30,9,54,晴
2021/4/16,13.7,64,曇
2016/12/9,11.1,56,晴
2021/8/15,19.3,100,雨
2019/9/13,22.4,67,曇
2002/9/26,20.2,55,曇
2014/6/11,22.2,88,雨
2000/1/28,4.6,37,晴
2000/12/24,9.8,44,晴
2018/7/7,25,86,曇
2007/7/13,24.9,80,曇
2011/10/20,17.7,61,曇
2007/8/18,25.5,71,曇
2011/2/4,8.8,40,晴
2020/9/23,20.2,95,雨
2012/10/1,26.9,63,晴
2003/11/17,14,33,晴
2001/10/7,19.8,60,曇
2015/10/7,17.5,49,晴
2006/8/26,25.2,71,曇
2013/11/23,12.6,50,晴
2012/10/21,19.1,58,晴
2019/12/9,6.4,66,曇
2008/1/6,7.5,59,晴
2010/11/26,12.8,68,曇
2011/1/17,5,26,晴
2012/2/26,6,49,曇
2015/4/21,17.5,76,曇
2006/12/30,6.8,28,晴
2010/4/12,8.6,72,雨
2005/11/27,12,57,晴
2000/11/26,13.6,65,晴
2015/11/8,15.2,93,雨
2015/9/7,23,98,雨
