年月日,平均気温(℃),平均湿度(％),天気概況(昼：06時～18時)
2014/9/11,21.8,85,雨
2006/8/26,25.2,71,曇
2005/1/5,5.3,33,晴
2016/3/15,8.1,50,晴
2008/1/14,4,35,曇
2008/12/12,13.1,56,晴
2013/12/19,6.3,89,雨
2006/9/6,24.1,72,雨
2017/2/3,7.4,36,晴
2004/10/16,15.5,61,曇
2017/4/14,15,51,晴
2020/9/25,19.4,95,雨
2008/3/14,13.3,76,雨
2005/3/8,10.6,54,晴
2008/3/17,13.1,51,曇
2007/7/13,24.9,80,曇
2008/6/29,21,88,雨
2004/2/8,5.6,45,晴
2001/9/23,17.3,53,晴
2006/4/26,14,46,曇
2010/10/29,13.9,64,曇
2000/2/25,3.3,25,晴
2018/9/29,18.8,95,雨
2017/11/21,7.9,49,晴
2007/8/6,29,64,晴
2003/12/1,13,85,雨
2019/1/27,4.6,43,晴
2021/6/27,23.7,78,曇
2000/5/5,16.8,55,晴
2016/11/10,9.6,53,曇
2019/4/12,9.6,52,曇
2006/3/24,11.2,32,曇
2010/7/12,27.4,75,雨
2019/9/5,25.7,81,曇
2002/1/4,6.5,47,晴
2012/3/17,6.8,84,雨
2000/11/2,14.7,91,雨
2003/7/25,22.8,79,曇
2021/4/30,18.8,64,晴
2001/4/18,18.6,58,曇
2005/10/30,17.5,54,曇
2012/1/23,5,77,雨
2007/7/11,24.7,82,雨
2021/2/19,6.9,41,晴
2001/8/29,26.1,74,曇
2014/12/29,4.2,89,雨
2020/10/2,21,72,晴
2002/11/24,10.6,72,曇
2014/12/18,4,38,晴
2008/3/20,9.2,80,雨
2008/2/28,6.6,26,晴
2009/11/11,17.3,87,雨
2007/11/25,12,56,晴
2006/7/21,21.4,83,雨
2014/5/5,18.1,71,雨
2019/1/7,5.4,42,晴
2018/9/15,20.5,100,雨
2013/1/20,6.1,42,晴
2017/10/26,14.4,74,晴
2007/12/22,7.1,58,雨
2010/11/26,12.8,68,曇
2017/1/21,5.9,52,晴
2009/7/6,23.7,81,雨
2021/5/13,16.1,94,雨
2021/3/14,12.5,46,晴
2002/9/23,20.2,68,曇
2003/1/2,3.4,49,晴
2018/5/28,21.6,76,曇
2011/8/21,20.6,86,雨
2012/4/13,17.2,61,曇
2003/7/23,19.4,77,雨
2013/1/5,2.8,44,曇
2003/2/1,5.1,29,晴
2016/6/6,20,76,曇
2002/12/27,4.2,34,晴
2013/11/16,12.9,62,晴
2006/2/27,8.6,42,曇
2000/6/24,20.1,91,雨
2008/2/1,5,29,晴
2018/2/25,5.6,57,曇
2011/1/31,2.9,28,晴
2018/3/19,13,70,曇
2013/11/20,12.2,38,晴
2019/8/28,25.6,91,雨
2006/1/16,9,65,曇
2003/8/13,23.8,71,曇
2020/4/4,15.7,62,晴
2002/1/9,7.5,37,晴
2013/6/11,21.4,76,雨
2014/5/31,25.6,59,晴
2010/9/27,16.3,87,雨
2021/1/19,4.4,40,晴
2016/1/19,5.1,43,晴
2007/1/6,6.1,77,雨
2012/1/9,5.9,44,晴
2012/3/23,9.9,70,雨
2007/4/23,15,72,曇
2006/7/5,23.1,83,雨
2001/6/23,22.8,77,曇
2007/2/26,6.1,37,晴
2019/12/8,7.4,59,晴
2016/11/15,15.3,83,曇
2019/7/14,21.3,100,雨
2003/8/20,24.2,75,曇
2011/2/17,10,59,曇
2009/4/9,18.3,40,晴
2019/11/5,13.7,58,晴
2013/1/11,5.1,36,晴
2012/5/21,20.2,63,曇
2002/2/20,9,37,晴
2011/2/3,7.4,46,晴
2020/5/16,18.5,89,雨
2007/2/23,11.1,73,雨
2013/4/2,10.6,89,雨
2000/12/29,6.5,37,晴
2001/11/28,10.7,47,晴
2016/6/28,19.1,95,雨
2020/10/28,16.6,73,曇
2019/1/3,4.9,49,晴
2013/8/2,25.6,73,曇
2020/12/17,4.3,42,晴
2011/12/22,5.8,57,曇
2018/2/21,5.9,52,曇
2004/8/27,24.3,72,曇
2015/12/18,7.8,41,晴
2003/4/2,9.8,78,雨
2019/8/23,26.3,94,雨
2012/3/9,7.3,89,雨
2021/3/8,6.6,87,雨
2003/1/12,7.6,40,晴
2004/7/19,30.6,47,曇
2017/2/16,7.3,55,晴
2002/3/2,12.3,49,曇
2016/3/11,4.6,72,雨
2017/8/17,24.2,89,曇
2002/5/31,21.7,62,曇
2008/1/21,4.9,43,曇
2008/1/4,7,43,晴
2003/11/17,14,33,晴
2011/6/26,21.3,81,曇
2014/6/8,20.5,90,雨
2014/9/17,23.3,64,曇
2002/11/10,10.9,43,晴
2007/1/25,7.9,33,晴
2005/10/19,17.8,67,曇
2020/9/15,23.8,82,曇
2002/6/25,17.5,82,雨
2018/5/15,22.3,57,晴
2004/5/27,22.4,68,曇
2009/11/3,10.2,42,晴
2002/2/3,6,71,雨
2019/2/5,6.7,55,曇
2013/6/19,26.7,75,曇
2006/10/16,20.2,48,晴
2005/4/12,7.8,77,雨
2019/5/8,16.5,42,晴
2003/6/10,20.3,66,曇
2021/9/4,20.6,97,雨
2019/2/28,6.6,92,雨
2020/6/19,18.7,99,雨
2006/6/18,21.3,87,雨
2007/6/18,23.8,62,曇
2004/7/31,28.1,70,曇
2017/3/14,8.1,86,雨
2015/8/20,25.6,92,雨
2003/10/29,20,62,晴
2021/3/7,7.8,56,曇
2004/6/8,22.9,75,曇
2000/12/14,7.2,52,曇
2008/1/12,6.9,72,雨
2019/10/25,15.1,99,雨
2008/8/10,26.6,70,曇
2005/6/15,19.5,83,雨
2018/4/29,20.1,66,晴
2001/6/30,25.7,78,雨
2012/1/1,5.7,43,曇
2006/1/8,4.2,27,晴
2005/7/26,25.4,86,雨
2005/1/30,6.9,35,晴
2021/4/20,17.2,52,晴
2018/4/28,20.1,51,晴
2006/8/28,26,66,曇
2020/4/29,15.1,69,晴
2009/2/6,7.9,40,晴
2020/1/25,7.8,47,曇
2009/4/30,17.8,43,晴
2020/12/7,9.7,71,晴
2002/4/2,19.2,51,晴
2017/9/20,23.3,74,曇
2011/7/19,27.9,78,雨
2006/3/5,8.3,48,晴
2010/9/8,25.8,79,雨
2015/2/14,4.9,29,晴
2002/12/8,5.8,68,雨
2013/6/23,23.4,75,曇
2006/1/6,2.1,33,曇
2018/4/21,18.9,65,晴
2005/8/28,25.1,64,曇
2009/1/3,6.6,37,晴
2018/11/13,14.9,83,曇
2016/3/1,5.2,30,晴
2013/11/23,12.6,50,晴
2006/4/18,16.4,50,晴
2007/2/12,8.4,39,晴
2005/12/27,4.8,26,晴
2001/2/17,4.9,39,晴
2009/12/16,6.9,59,曇
2000/4/21,14,90,雨
2019/12/4,10.2,51,晴
2019/11/30,7.3,56,晴
2007/1/30,9,47,晴
2008/9/15,24.4,74,曇
2020/3/27,16.2,69,曇
2002/11/20,11,55,曇
2019/3/29,7.7,56,曇
2020/11/8,17.3,75,曇
2003/11/14,12.7,52,晴
2020/1/3,6.1,63,晴
2002/3/10,13,39,晴
2019/7/8,20.3,81,曇
2020/5/19,17.7,97,雨
2018/7/5,26.7,79,雨
2006/2/5,1.9,31,晴
2012/11/18,12.7,49,晴
2002/11/19,10.9,38,曇
2015/12/1,10.8,62,晴
2013/3/12,10.7,42,晴
2009/7/11,25.3,53,曇
2019/10/29,14.5,93,雨
2006/2/6,2,50,曇
2019/11/29,5.2,56,晴
2014/10/9,21,69,曇
2008/4/1,11.2,34,晴
2004/5/7,18.9,62,晴
2002/3/13,11.9,33,晴
2008/7/9,24.3,68,曇
2020/12/21,5.3,40,晴
2004/1/14,5,25,晴
2013/3/1,13.6,65,曇
2004/10/15,18.1,48,晴
2010/1/16,3.8,31,晴
2019/12/12,11.7,62,晴
2010/6/23,24.2,81,雨
2003/8/16,19.3,88,雨
2010/5/11,17.1,77,雨
2015/7/6,19.8,97,雨
2005/11/22,10.5,52,晴
2007/3/27,13.6,50,曇
2014/4/28,18.6,52,曇
2014/3/26,16.4,57,曇
2016/3/7,14.1,99,雨
2004/12/30,5.3,44,晴
2014/1/13,5.1,35,晴
2013/3/28,15,74,曇
2019/6/14,22.2,72,曇
2006/6/6,20.4,67,曇
2003/6/5,22.8,54,晴
2005/1/18,8.4,34,晴
2002/3/8,8.7,29,晴
2019/3/7,8.2,97,雨
2021/1/30,4.1,36,晴
2007/12/11,10,55,曇
2019/6/12,18,78,曇
2003/6/8,22.1,66,晴
2000/12/3,9.3,58,曇
2000/3/1,6.1,25,晴
2017/3/21,9.1,93,雨
2006/10/6,17,87,雨
2003/6/11,21.3,68,曇
2011/3/29,10.9,42,晴
2012/6/16,20.2,89,雨
2007/2/3,7.3,31,晴
2008/8/25,23.2,88,雨
2010/3/6,11.4,80,雨
2006/4/27,13,72,雨
2000/11/20,9.2,83,雨
2016/10/11,17.6,69,曇
2006/6/2,22.2,68,曇
2007/2/2,6.3,25,晴
2020/5/3,20.7,70,曇
2009/10/6,17.8,85,雨
2019/11/6,14.3,61,晴
2013/6/20,22.3,88,雨
2016/7/9,22.4,95,雨
2004/6/14,22.5,51,晴
2000/11/17,9.8,88,雨
2010/4/23,8.2,82,雨
2008/10/28,17.1,58,晴
2012/9/3,26.9,73,曇
2009/2/21,6.4,30,晴
2014/11/13,15,50,晴
2004/10/2,24,62,晴
2006/7/6,24.7,75,曇
2011/8/31,26.4,75,曇
2004/1/24,4.9,38,曇
2013/5/5,18.1,48,晴
2010/5/21,24.3,55,晴
2018/10/13,17.4,65,曇
2002/10/12,17.5,57,晴
2017/5/10,16.3,95,雨
2002/11/7,9.6,53,曇
2015/1/13,6.6,38,晴
2011/8/1,24.5,69,曇
2019/1/2,6.2,47,晴
2013/12/14,7.6,42,晴
2012/4/26,18.3,77,雨
2014/3/24,13.6,37,晴
2009/1/11,5.1,30,晴
2002/10/8,21.1,66,雨
2003/4/23,15.5,69,雨
2005/10/18,17.1,83,雨
2004/5/6,13.9,65,曇
2015/10/11,18.9,87,雨
2001/9/7,23.4,70,曇
2018/11/9,15.6,100,雨
2003/8/15,19.5,89,雨
2014/1/23,6.5,35,晴
2006/7/24,24,86,雨
2005/12/17,6.9,33,晴
2008/5/31,13.5,85,雨
2015/8/18,28.2,76,曇
2016/4/27,18.1,76,曇
2001/8/12,23.2,84,雨
2004/5/12,21,46,曇
2006/6/5,19,63,曇
2016/1/6,8.9,69,曇
2001/3/27,12.2,35,晴
2013/1/29,7.1,36,晴
2006/12/22,9.5,65,曇
2013/3/30,9,72,曇
2018/12/15,6.1,42,晴
2019/3/4,7.3,99,雨
2001/5/13,20.7,56,晴
2004/3/10,12.4,44,晴
2016/3/9,8.7,84,雨
2008/7/3,24.3,75,曇
2001/6/8,20.9,73,曇
2006/7/19,21.1,84,雨
2012/3/2,7.3,85,雨
2005/5/20,19.3,38,曇
2007/7/24,26.6,60,晴
2001/4/13,15.6,39,晴
2000/5/20,16.4,88,雨
2018/6/12,20.5,91,曇
2020/9/12,23.7,97,雨
2010/8/14,29.4,70,曇
2008/6/17,22.1,68,曇
2009/10/27,19.1,51,晴
2019/7/1,22.7,100,雨
2013/1/18,3.3,36,晴
2008/8/17,22.6,84,雨
2003/12/21,7.3,36,晴
2001/8/8,24.8,66,曇
2005/10/1,22.5,61,晴
2017/8/22,27.8,84,曇
2002/8/19,25.7,86,雨
2018/7/2,28.8,70,晴
2014/9/1,21.8,89,雨
2011/1/10,3.4,27,晴
2001/12/22,7.2,47,晴
2002/3/20,14.4,31,晴
2002/4/20,17.1,52,曇
2008/9/4,27.4,73,曇
2020/4/14,10.9,54,晴
2001/9/24,19.4,56,晴
2005/12/29,5.2,29,晴
2015/11/14,13,92,雨
2002/8/24,24.4,77,曇
2013/2/26,5.5,40,晴
2017/12/9,5.9,55,晴
2000/6/26,20.3,82,曇
2012/3/21,8.1,27,晴
2011/1/22,6,34,晴
2008/7/26,27.9,74,曇
2009/5/29,17.5,86,雨
2013/3/11,7.9,25,晴
2008/10/7,21.6,74,曇
2015/12/14,11.6,76,曇
2002/5/7,13.8,80,雨
2019/5/31,21.6,74,曇
2001/2/13,4,43,曇
2016/3/3,9.2,46,晴
2008/8/23,20.9,78,雨
2008/10/24,21,89,雨
2021/2/21,13.9,56,晴
2001/1/29,5.8,41,晴
2011/4/18,14.9,55,曇
2010/12/7,12.2,57,曇
2000/10/29,12.5,88,雨
2002/12/11,5.3,55,晴
2002/6/28,20.4,73,曇
2019/12/30,6.7,72,雨
2000/6/3,23,70,曇
2016/6/8,21.9,72,曇
2009/4/7,16,51,晴
2006/7/18,21.6,84,雨
2012/10/21,19.1,58,晴
2016/4/15,16.3,31,晴
2003/7/16,23,71,曇
2003/3/7,5.5,86,雨
2017/6/29,24.6,80,曇
2006/6/23,23.4,71,曇
2009/1/29,8.9,62,曇
2020/9/22,22.5,76,曇
2011/7/20,25.9,79,雨
2019/1/4,5.1,59,晴
2004/12/9,10.6,59,曇
2003/1/6,4.2,29,晴
2015/7/4,22.5,96,雨
2001/8/21,24.8,82,雨
2001/2/27,8,45,晴
2000/2/1,5.7,26,晴
2003/12/3,11.8,51,曇
2019/7/16,20.5,100,雨
2011/8/20,23.7,72,曇
2003/7/15,21.5,68,曇
2007/12/25,8,45,曇
2021/1/2,4.8,53,晴
2006/3/15,8.4,38,晴
2002/3/27,10.8,76,雨
2014/10/29,16.4,43,晴
2008/5/29,15.8,84,雨
2002/6/17,23.2,71,曇
2001/1/6,4.5,34,晴
2000/12/27,6,26,晴
2001/10/27,17.4,60,晴
2002/9/20,22,53,晴
2003/9/8,23.9,72,曇
2019/8/30,26,89,雨
2012/1/16,4.5,35,曇
2005/3/11,9.4,77,雨
2009/1/30,9.6,82,雨
2013/1/27,4.8,29,晴
2002/1/3,4.1,29,晴
2017/10/24,15.1,62,曇
2005/2/26,4.4,37,曇
2004/5/17,23.9,74,曇
2008/10/25,20.6,70,曇
2003/8/6,27.5,73,曇
2015/9/10,21.8,99,雨
2007/9/13,23.9,66,曇
2001/6/14,19.1,88,雨
2011/5/12,15.6,85,雨
2013/12/29,4.9,39,晴
2019/7/7,19.2,99,雨
2021/6/22,23.1,76,曇
2011/4/23,16.5,81,雨
2001/10/1,18.2,89,雨
2010/6/22,26.1,72,曇
2004/7/5,27.2,76,曇
2021/5/21,21.7,92,雨
2015/1/31,4.9,56,晴
2010/1/9,7.2,34,晴
2004/4/29,17.6,31,晴
2005/10/5,19.1,83,雨
2007/5/13,20.7,49,曇
2021/7/2,21.2,100,雨
2015/8/27,23.6,81,曇
2002/9/24,21,48,晴
2013/9/27,19.8,47,晴
2020/7/25,25.1,98,雨
2011/3/28,8.6,37,晴
2014/3/25,16.6,43,晴
2007/6/28,26.5,69,曇
2019/7/12,20.2,100,雨
2001/10/18,14.3,80,雨
2003/12/2,14.1,53,晴
2020/7/23,23.2,99,雨
2019/6/10,16.2,100,雨
2011/2/16,6.8,49,晴
2003/11/11,11.4,85,雨
2010/10/21,18.4,77,雨
2021/1/15,6.6,68,曇
2000/11/13,14.4,53,曇
2014/12/19,5.4,45,晴
2014/10/5,17.2,89,雨
2001/7/2,25.8,64,晴
2021/2/6,8.9,55,晴
2018/3/28,17.2,65,晴
2000/6/9,23.3,81,雨
2003/11/27,9.5,61,曇
2004/10/3,18.8,85,雨
2020/7/16,20.7,86,曇
2015/4/5,10.3,89,雨
2017/5/17,17.2,69,曇
2019/6/8,20.8,88,曇
2018/9/20,19.9,85,雨
2005/10/17,17.9,85,雨
2016/5/25,22.2,70,曇
2011/6/7,21.6,68,曇
2019/4/10,5.7,90,雨
2001/5/27,19.9,79,雨
2004/9/27,19.4,86,雨
2005/4/11,13.3,78,雨
2018/10/29,17,74,晴
2012/11/30,10.5,74,曇
2021/4/5,12.9,89,雨
2016/10/22,16.7,71,曇
2011/1/14,3.8,36,晴
2003/7/7,22.3,83,雨
2008/12/17,8.8,75,雨
2016/9/30,21.4,66,曇
2004/5/23,13.8,80,曇
2004/9/18,26.1,65,曇
2016/8/27,24.3,87,雨
2018/1/2,6.1,42,晴
2018/9/12,21,70,曇
2008/6/25,21.6,71,曇
2021/2/26,8.7,43,曇
2015/2/24,9.7,74,曇
2009/4/15,19.7,51,晴
2010/1/15,4.6,37,晴
2011/2/7,8.2,42,晴
2020/7/10,25.3,90,雨
2009/2/8,7.4,33,晴
2002/6/27,16.4,87,雨
2001/11/11,12.3,63,晴
2007/11/28,11.6,48,曇
2020/1/20,7.5,62,晴
2002/5/9,14.8,73,曇
2015/1/22,4.6,91,雨
2005/5/5,19.3,49,晴
2003/4/14,14.9,48,曇
2008/4/10,10.1,82,雨
2010/5/23,18.3,75,雨
2016/11/16,12.5,52,曇
2016/3/14,5.7,89,雨
2001/11/23,13.6,55,晴
2012/1/15,4.5,38,曇
2000/5/13,19.5,87,雨
2011/6/12,23.2,68,曇
2004/8/29,19.9,88,雨
2017/12/28,4.8,39,晴
2011/9/1,28.5,75,曇
2004/12/15,10.3,54,曇
2005/7/2,25.8,71,曇
2011/12/11,8.1,49,晴
2012/7/22,20.8,85,曇
2011/4/1,11.2,42,晴
2005/1/7,7.8,52,晴
2002/8/18,23.7,85,雨
2011/11/19,16.3,83,雨
2015/9/7,23,98,雨
2007/2/10,10.8,71,曇
2012/12/30,7.2,90,雨
2008/7/10,24.6,70,曇
2001/2/12,4.1,33,曇
2010/6/3,20.9,56,晴
2015/11/10,16.5,94,雨
2020/6/22,19.2,95,雨
2017/4/30,17.8,60,晴
2006/5/19,19,84,雨
2019/9/29,24.7,83,曇
2007/8/18,25.5,71,曇
2007/2/4,7.4,29,晴
2015/12/29,6.3,39,晴
2017/8/18,26.5,87,曇
2000/6/13,18.1,90,雨
2020/2/16,9.3,91,雨
2018/8/12,27.7,85,曇
2017/3/9,7.5,44,晴
2016/10/26,19.1,82,晴
2020/9/18,29,74,曇
2004/12/3,10.7,45,晴
2002/12/24,6.5,61,曇
2020/11/17,15.2,62,晴
2005/5/14,12.9,62,曇
2014/6/26,23.6,74,曇
2006/12/7,9.1,58,曇
2007/5/4,21.5,48,晴
2003/5/12,18.3,70,曇
2008/2/13,3.1,26,晴
2011/7/15,29.4,60,晴
2010/11/17,8.8,72,雨
2004/11/25,15.1,42,晴
2008/7/6,27,76,曇
2008/11/21,11,43,晴
2015/12/13,10.2,81,雨
2014/8/17,26.2,81,曇
2012/7/5,26.7,74,曇
2002/8/12,26.7,74,曇
2009/4/25,11.2,85,雨
2012/4/21,11.8,67,曇
2003/9/26,21.8,77,曇
2009/6/15,20.8,73,曇
2016/6/13,19.8,98,雨
2020/9/23,20.2,95,雨
2020/4/13,8,97,雨
2004/6/25,25.9,78,雨
2005/4/28,21.3,50,晴
2015/6/21,20.6,86,雨
2011/4/14,16.7,41,晴
2013/4/25,18,49,曇
2005/1/13,6.4,27,晴
2018/3/29,18.1,60,晴
2000/10/6,21.1,61,曇
2007/4/3,8.8,74,雨
2005/7/30,28.8,70,曇
2018/10/5,18.7,95,雨
2019/4/3,8.1,39,晴
2001/10/13,21.5,48,晴
2020/7/15,20.4,97,雨
2010/5/20,20.2,87,雨
2012/6/23,22.2,73,曇
2018/5/29,23,73,曇
2008/11/3,15.7,65,曇
2020/9/19,24.7,78,曇
2016/10/13,16.5,67,曇
2013/1/19,5.2,42,晴
2017/4/21,15.6,73,曇
2005/2/23,12.1,33,晴
2021/2/16,10.6,38,晴
2013/6/10,23.6,69,曇
2011/2/24,11.4,67,雨
2005/6/28,30.8,55,曇
2003/12/14,9.9,39,晴
2002/2/19,6.4,31,晴
2021/1/1,4.4,40,晴
2004/1/8,5.7,34,晴
2000/4/5,11.9,89,雨
2001/10/19,15.3,53,晴
2001/11/9,12.8,78,雨
2001/1/16,3,31,晴
2009/7/21,22.8,81,雨
2010/3/15,13.7,64,曇
2013/4/24,16.8,74,雨
2021/6/14,21,92,雨
2007/1/10,7.4,37,晴
2020/1/27,5.1,72,曇
2010/2/27,10.9,80,雨
2010/3/7,6.2,78,雨
2001/6/19,26,72,曇
2010/6/2,19.1,53,晴
2007/9/18,25.1,73,曇
2019/5/24,23.1,49,晴
2017/10/30,15.3,53,晴
2011/10/27,15.2,45,晴
2005/3/6,3.8,62,曇
2011/12/29,6,46,晴
2011/4/8,17.2,50,曇
2012/11/10,15.7,47,晴
2014/5/21,17.5,87,雨
2005/11/27,12,57,晴
2020/4/16,11.7,66,曇
2011/11/28,12.1,53,曇
2001/10/17,18.2,82,雨
2020/12/5,6.6,86,雨
2004/11/19,13.2,86,雨
2006/11/26,10,60,曇
2001/10/10,17,89,雨
2001/8/7,24.4,66,曇
2011/3/26,7.4,39,晴
2005/2/25,3.6,77,曇
2018/9/28,19.7,77,晴
2019/6/30,21.6,99,雨
2017/10/22,17.4,100,雨
2001/12/24,7.5,40,晴
2019/4/29,14.8,64,曇
2016/4/23,17.9,73,曇
2014/12/26,5.1,38,晴
2017/10/13,15.9,92,雨
2005/12/18,3.6,24,晴
2011/6/19,21.8,75,曇
2014/1/29,8.9,43,晴
2021/8/15,19.3,100,雨
2014/8/5,31.1,64,晴
2016/1/14,6,52,晴
2013/4/28,16.8,28,晴
2017/1/4,8.5,48,晴
2011/8/27,24.3,77,曇
2021/1/6,5.3,73,曇
2014/10/17,18.4,53,晴
2011/12/4,13.4,41,晴
2005/7/17,28,73,曇
2001/12/11,7.3,31,晴
2014/10/13,18.1,79,雨
2001/6/21,19.3,81,雨
2005/5/13,12.6,65,曇
2003/7/18,22,74,曇
2014/9/18,22.3,49,曇
2013/10/6,21.4,89,曇
2018/4/23,16.5,80,曇
2014/11/26,9.2,89,雨
2021/8/31,26.9,76,曇
2002/8/8,31,56,晴
2014/3/14,10.1,47,曇
2007/7/8,22.9,68,曇
2004/9/24,23.1,75,曇
2011/6/2,16,81,雨
2004/12/6,11.8,35,晴
2021/6/10,24.1,64,晴
2014/3/30,16.5,79,雨
2014/6/12,22,89,雨
2009/2/9,6.1,34,曇
2004/4/21,19.7,34,晴
2013/6/30,24.2,73,曇
2007/11/29,9.7,51,曇
2008/11/13,14.9,58,晴
2017/3/26,5.9,91,雨
2019/3/30,8.7,80,曇
2006/2/17,7,48,曇
2003/1/27,3.8,86,雨
2005/3/29,11.6,47,曇
