年月日,平均気温(℃),平均湿度(％),天気概況(昼：06時～18時)
2008/12/4,12.4,61,晴
2006/11/20,12.7,84,雨
2012/6/28,22.5,71,曇
2013/7/29,26.3,83,雨
2011/12/20,7,38,晴
2011/6/17,19.2,85,雨
2000/10/5,20.9,68,曇
2002/3/19,13.3,28,晴
2007/5/6,18,79,雨
2003/2/23,6.3,67,曇
2017/10/2,22.3,76,曇
2002/10/5,23.3,62,晴
2014/4/30,16.7,89,雨
2008/4/20,15.7,52,曇
2018/3/7,5.2,56,曇
2008/11/11,11.6,57,曇
2006/7/8,26,72,曇
2016/10/3,22.7,94,雨
2020/4/25,12.7,61,晴
2002/9/10,24.1,74,曇
2001/4/15,17.1,43,晴
2002/11/28,10.1,32,晴
2006/2/10,5.6,33,晴
2021/4/28,18.2,63,曇
2005/4/19,15.2,53,晴
2017/4/11,8.5,90,雨
2006/9/13,18.7,87,雨
2005/9/24,22.5,83,雨
2017/6/7,20.3,74,曇
2002/8/4,27,76,曇
2010/10/17,20.9,59,曇
2021/4/6,10.6,65,曇
2000/6/12,17.7,84,雨
2018/6/20,20.8,98,雨
2012/6/9,19,90,雨
2003/7/3,22.8,73,曇
2000/3/10,5.5,26,晴
2014/11/14,12.8,42,晴
2015/8/30,21.2,96,雨
2008/4/18,13.4,88,雨
2016/12/11,6.8,42,晴
2008/10/2,19.6,53,晴
2001/4/30,14.9,84,雨
2014/3/20,8.1,83,雨
2012/10/1,26.9,63,晴
2018/7/25,28.1,81,曇
2020/3/19,14.6,65,晴
2005/11/1,14.6,47,晴
2009/11/17,10.3,70,雨
2002/12/21,5,72,雨
2011/11/10,14.1,57,曇
2007/12/16,6.9,45,晴
2013/12/9,8.2,48,曇
2021/1/20,3.9,41,晴
2017/1/26,4.6,48,晴
2003/1/31,5.2,36,晴
2009/5/20,23.2,52,晴
2002/8/20,27.7,45,晴
2013/7/13,30.7,66,曇
2003/6/24,22.7,80,雨
2014/3/28,14.8,52,晴
2019/6/22,22.2,91,雨
2008/11/1,16.1,47,晴
2018/3/20,8.4,85,雨
2017/6/27,23.2,87,曇
2017/2/12,5,42,晴
2007/7/17,19.8,82,雨
2008/2/14,5.1,24,晴
2000/6/14,19.3,88,雨
2013/7/22,26.5,77,曇
2013/5/28,22.2,65,曇
2006/5/3,13.5,52,晴
2015/1/9,6.7,31,晴
2017/5/7,19.9,71,曇
2007/3/24,13.4,60,曇
2017/10/16,12.7,100,雨
2017/10/15,15,97,雨
2013/8/26,26.7,65,曇
2019/9/21,21.8,75,曇
2000/1/5,9.3,46,曇
2004/9/11,23.6,63,曇
2003/2/21,7.3,36,晴
2021/4/26,13.4,35,晴
2013/12/3,11.7,53,晴
2021/1/23,6.4,85,雨
2018/11/2,14.5,58,晴
2017/12/14,5.7,41,晴
2020/5/18,19.2,91,雨
2005/9/18,25.5,65,晴
2011/4/5,10.1,28,晴
2021/8/13,22.5,97,雨
2015/2/7,5.3,60,曇
2006/2/28,4.6,54,曇
2014/8/28,21.1,91,雨
2012/6/25,18.4,72,曇
2008/10/31,14.4,55,曇
2021/7/8,23.7,93,雨
